                Time          Cycles PC       Instr    Mnemonic
               94500              79 1c000080 0180006f jal              x0, 24             
             1160500            1145 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002644  PA:1c002644
             1178500            1163 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002648  x5:1c002644
             1179500            1164 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002648  x6:1c0026ac
             1208500            1193 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002648  PA:1c002648
             1226500            1211 1c0000c6 00428293 addi             x5, x5, 4            x5=1c00264c  x5:1c002648
             1227500            1212 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c00264c  x6:1c0026ac
             1256500            1241 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c00264c  PA:1c00264c
             1274500            1259 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002650  x5:1c00264c
             1275500            1260 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002650  x6:1c0026ac
             1304500            1289 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002650  PA:1c002650
             1322500            1307 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002654  x5:1c002650
             1323500            1308 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002654  x6:1c0026ac
             1352500            1337 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002654  PA:1c002654
             1370500            1355 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002658  x5:1c002654
             1371500            1356 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002658  x6:1c0026ac
             1400500            1385 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002658  PA:1c002658
             1418500            1403 1c0000c6 00428293 addi             x5, x5, 4            x5=1c00265c  x5:1c002658
             1419500            1404 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c00265c  x6:1c0026ac
             1448500            1433 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c00265c  PA:1c00265c
             1466500            1451 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002660  x5:1c00265c
             1467500            1452 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002660  x6:1c0026ac
             1496500            1481 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002660  PA:1c002660
             1514500            1499 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002664  x5:1c002660
             1515500            1500 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002664  x6:1c0026ac
             1544500            1529 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002664  PA:1c002664
             1562500            1547 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002668  x5:1c002664
             1563500            1548 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002668  x6:1c0026ac
             1592500            1577 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002668  PA:1c002668
             1610500            1595 1c0000c6 00428293 addi             x5, x5, 4            x5=1c00266c  x5:1c002668
             1611500            1596 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c00266c  x6:1c0026ac
             1640500            1625 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c00266c  PA:1c00266c
             1658500            1643 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002670  x5:1c00266c
             1659500            1644 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002670  x6:1c0026ac
             1688500            1673 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002670  PA:1c002670
             1706500            1691 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002674  x5:1c002670
             1707500            1692 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002674  x6:1c0026ac
             1736500            1721 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002674  PA:1c002674
             1754500            1739 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002678  x5:1c002674
             1755500            1740 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002678  x6:1c0026ac
             1784500            1769 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002678  PA:1c002678
             1802500            1787 1c0000c6 00428293 addi             x5, x5, 4            x5=1c00267c  x5:1c002678
             1803500            1788 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c00267c  x6:1c0026ac
             1832500            1817 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c00267c  PA:1c00267c
             1850500            1835 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002680  x5:1c00267c
             1851500            1836 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002680  x6:1c0026ac
             1880500            1865 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002680  PA:1c002680
             1898500            1883 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002684  x5:1c002680
             1899500            1884 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002684  x6:1c0026ac
             1928500            1913 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002684  PA:1c002684
             1946500            1931 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002688  x5:1c002684
             1947500            1932 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002688  x6:1c0026ac
